upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0A8T7,2778.52,7164.37,4503.01,2179.99,2444.36,3315.67,2844.54,2729.85,4780.47,3900.47,3476.95,2999.58,1734.81,1907.40,2247.84,3985.37,3339.35,3631.53,3401.44,2258.17,2764.09,4516.85
P0A8V2,3957.43,8888.47,5198.56,2661.25,3198.78,3999.08,3748.81,3714.43,5244.78,4388.33,3859.60,3455.10,2378.51,2226.87,3253.95,4922.67,4031.66,4437.01,4142.90,2820.45,3855.15,5269.44
P36683,7595.54,16599.72,17548.34,22843.97,19491.48,13752.78,10792.19,16395.22,15733.21,20261.12,16409.55,13763.34,933.30,756.48,2814.51,4841.83,4648.93,6697.45,16516.92,12875.30,19547.13,8782.37
P15254,2456.27,820.69,2339.02,1437.66,2071.50,1958.94,2067.73,2708.10,2285.25,1730.34,1467.94,1218.81,617.66,734.88,1318.13,1885.49,1708.22,1720.75,1764.28,1570.50,1913.47,2405.72
P09831,2858.93,604.31,651.95,1362.61,1280.73,1977.28,2203.88,1690.78,2321.42,1959.48,1771.18,1379.00,229.57,183.12,833.58,2979.36,2723.48,2496.13,2078.53,1398.11,1552.87,3858.17
P0AFG8,5814.61,11819.71,6671.33,2445.23,4521.36,4198.24,4066.87,15791.00,5883.82,5275.35,4409.04,4794.04,5278.59,5888.01,6282.65,6982.69,9459.14,10242.51,4904.56,3263.11,4738.75,9413.60
P0A9Q7,4851.08,5471.63,5634.48,4510.32,4007.15,7360.88,5185.61,3292.32,10353.75,7637.44,7837.48,8009.34,7037.52,6714.46,5215.50,9028.76,9015.42,8391.17,5977.23,6323.83,4052.32,19994.34
P0CE47,252452.06,443852.26,368887.95,149277.67,190255.68,173736.43,191041.14,187233.00,180818.69,142246.77,112618.15,102131.34,86995.53,88446.74,214484.39,250232.39,192346.40,216763.91,192017.03,140284.55,195882.72,233115.93
P25665,51584.19,1711.15,1690.46,17413.40,19718.94,23978.27,28808.03,18643.24,27207.98,13267.74,8295.19,4243.48,3382.02,3562.90,30108.98,32361.84,25743.72,32790.21,26643.44,11659.56,19185.42,38847.64
P0A6F5,22739.32,65886.56,57319.45,19539.78,26421.53,23090.46,26357.69,22919.14,25954.20,23701.84,17810.67,16980.16,26509.23,25773.91,22879.42,65428.41,26820.98,26428.22,27239.01,15632.15,26639.08,24906.09
P00968,4444.76,411.22,674.52,1514.39,2501.13,2228.04,2852.48,1847.45,3000.07,1872.56,1409.17,1117.03,1212.23,1147.44,2248.83,3594.61,2908.25,2687.08,2546.93,1674.52,2606.83,3695.26
P09373,4615.03,6983.82,6457.48,5645.30,5439.91,6177.78,5862.83,6557.03,6683.73,6004.11,5454.34,4877.02,3557.35,3629.22,4736.50,5698.68,8208.59,5999.37,7028.33,5774.42,6640.06,7623.71
P0A6Y8,18605.30,59770.33,38605.66,14174.33,16848.52,17438.37,17699.21,13238.70,15492.18,13263.55,10500.52,9605.96,34071.65,33716.14,20710.34,44984.89,34136.59,18456.85,18096.79,11030.33,19666.21,18740.38
P0A705,3047.25,6787.53,4374.80,1911.67,2531.67,2676.72,2826.61,2658.54,3821.85,2910.29,2327.05,2029.38,1199.54,1411.09,2279.93,4009.49,2724.65,3061.86,2784.55,1831.56,2546.10,3534.29
P05793,33337.86,3422.10,2074.21,15604.00,19954.16,20987.56,29064.74,14079.12,26857.14,17839.50,11582.59,6797.85,18865.06,17213.17,41664.78,34022.61,19773.63,29345.05,23853.25,13576.44,24773.99,35789.73
P00864,3632.67,1283.16,1487.75,1349.00,1452.20,3286.98,2185.48,1535.61,4287.59,2871.09,2128.89,1672.61,1315.50,1627.73,3019.41,3669.02,5644.36,3575.32,2646.90,1663.10,1479.21,5125.91
P00957,1948.29,3255.68,2475.47,1133.20,1510.49,1666.41,1709.91,1846.20,1725.73,1439.84,1193.22,1037.84,1085.31,1144.49,1714.38,2973.78,2250.50,2389.12,1778.35,1265.28,1821.13,2612.90
P0A6M8,39026.82,86622.50,60762.46,21359.54,28955.87,31263.48,31224.67,28633.06,24574.12,19959.47,15429.84,12885.90,13324.24,12393.62,29538.95,35282.60,29859.58,34977.86,27365.17,20501.12,32672.27,38114.97
P00961,2913.63,6498.48,4133.99,1959.04,2514.01,2532.70,2682.83,2692.87,2679.69,2169.77,1695.79,1621.04,1269.34,1532.78,2680.10,3641.97,2722.00,3303.88,2793.29,1981.10,2447.66,3272.49
P76558,468.82,2473.25,1691.04,1503.52,1339.73,1312.30,1133.68,1257.09,2829.13,3029.88,2859.98,2793.65,523.37,576.18,546.40,779.21,542.56,968.81,1595.47,986.43,1454.89,1245.42
P0AG67,23797.14,64900.12,33541.42,10729.25,16985.56,16208.66,20401.89,14452.81,18244.42,12111.78,9969.75,8661.91,8911.90,8261.04,15327.21,24274.37,17616.49,20320.48,17384.31,11286.01,17888.17,25304.02
P07813,1846.36,2691.85,2378.90,1202.21,1490.77,1459.03,1504.95,1311.28,1622.28,1368.56,1190.64,1068.99,888.56,906.50,1339.01,2105.40,1784.44,1683.70,1370.81,1099.56,1471.76,1796.96
P00561,5703.26,2159.91,1768.82,2108.49,3422.82,5214.63,4679.43,10181.44,7938.23,3275.02,2044.78,1464.44,2570.64,2797.86,6417.27,4512.07,5282.57,9303.32,4388.30,2073.37,3815.48,9641.22
P0AFG3,1705.89,6083.94,4466.73,4194.85,2634.89,3325.72,2752.34,4196.00,3640.10,2816.72,2322.88,2149.34,1245.65,1026.29,1781.12,1951.59,2399.61,3204.88,3021.71,1630.38,3418.16,3460.31
P00956,2166.22,2886.34,2349.75,1348.09,1657.13,1621.28,1814.07,1920.70,1646.90,1363.12,1073.81,883.70,927.02,959.40,2086.15,2949.58,2024.06,2453.64,1625.26,1356.72,1568.60,2021.45
P25553,3501.37,11228.64,10885.23,17217.31,28815.38,17164.49,16407.93,27352.65,19055.75,31011.76,35720.79,36654.87,1866.08,1868.09,1804.50,1689.11,1863.94,5994.39,30560.92,28622.43,27057.45,9486.80
P10408,706.32,1793.72,1114.45,450.91,665.08,737.39,621.71,789.96,934.90,835.50,757.25,749.74,326.22,341.78,441.62,665.82,552.45,659.93,708.83,442.17,617.37,770.51
P21889,2271.76,4355.55,2529.64,1504.69,1690.35,1747.54,1836.99,1605.10,2330.93,1929.63,1516.51,1483.29,1254.28,1252.22,2006.00,1913.88,2531.72,2746.52,2028.59,1397.09,1967.01,2589.98
P07395,5023.44,7698.95,6066.01,2817.75,3989.06,4413.27,4669.60,4723.67,6350.27,5644.72,5763.61,5152.03,1716.26,1900.95,3251.45,4814.75,4213.64,4320.20,4744.46,3868.21,4229.60,5931.54
P07118,1719.45,3107.21,2137.30,827.87,1024.97,1039.69,1113.82,1043.62,1298.44,969.74,749.45,649.63,508.21,501.80,962.02,1910.82,1132.36,1387.33,1188.40,755.90,1052.26,1406.55
P23847,4938.56,2475.80,15161.37,8170.31,13274.51,8661.09,9853.15,11652.23,10138.29,12011.30,10693.47,9324.30,4326.86,4713.12,7739.56,5160.09,6364.89,7698.04,10450.79,8001.53,11093.99,7461.88
P06959,9057.41,22341.16,10154.97,3566.50,6403.64,5695.59,5649.34,21929.55,7066.45,6302.23,5144.05,5609.70,7995.79,8855.69,10763.60,9533.74,13099.71,13628.12,6814.23,4887.54,6890.52,11238.26
