Operon,GeneName,Locus Name,GI,Strand,Pos. Left(pb),PosRight,Position
1,thrL,b0001,16127995,1,190,255,1
2,thrA,b0002,16127996,1,337,2799,1
2,thrB,b0003,16127997,1,2801,3733,2
2,thrC,b0004,16127998,1,3734,5020,3
3,yaaX,b0005,16127999,1,5234,5530,1
4,yaaA,b0006,16128000,-1,5683,6459,1
5,yaaJ,b0007,16128001,-1,6529,7959,1
6,talB,b0008,16128002,1,8238,9191,1
7,mog,b0009,16128003,1,9306,9893,1
8,yaaH,b0010,16128004,-1,9928,10494,1
9,yaaI,b0013,16128007,-1,11382,11786,1
9,yaaW,b0011,16128005,-1,10643,11356,2
10,dnaK,b0014,16128008,1,12163,14079,1
10,dnaJ,b0015,16128009,1,14168,15298,2
11,insL,b0016,16128010,1,15445,16557,1
12,mokC,b0018,16128012,-1,16751,16960,1
13,nhaA,b0019,16128013,1,17489,18655,1
13,nhaR,b0020,16128014,1,18715,19620,2
14,insA,b0022,16128016,-1,20233,20508,1
14,insB,b0021,16128015,-1,19811,20314,2
15,rpsT,b0023,16128017,-1,20815,21078,1
16,yaaY,b0024,16128018,1,21181,21399,1
16,ribF,b0025,16128019,1,21407,22348,2
16,ileS,b0026,16128020,1,22391,25207,3
16,lspA,b0027,16128021,1,25207,25701,4
17,fkpB,b0028,16128022,1,25826,26275,1
17,ispH,b0029,16128023,1,26277,27227,2
18,rihC,b0030,16128024,1,27293,28207,1
19,dapB,b0031,16128025,1,28374,29195,1
20,carA,b0032,16128026,1,29651,30799,1
20,carB,b0033,16128027,1,30817,34038,2
21,caiF,b0034,90111079,1,34300,34695,1
22,caiT,b0040,16128034,-1,40417,41931,1
22,caiA,b0039,16128033,-1,39244,40386,2
22,caiB,b0038,16128032,-1,37898,39115,3
22,caiC,b0037,221800780,-1,36271,37824,4
22,caiD,b0036,221800779,-1,35377,36162,5
22,caiE,b0035,90111080,-1,34781,35371,6
23,fixA,b0041,90111081,1,42403,43173,1
23,fixB,b0042,16128036,1,43188,44129,2
23,fixC,b0043,16128037,1,44180,45466,3
23,fixX,b0044,16128038,1,45463,45750,4
23,yaaU,b0045,16128039,1,45807,47138,5
24,kefF,b0046,16128040,1,47246,47776,1
24,kefC,b0047,16128041,1,47769,49631,2
25,folA,b0048,16128042,1,49823,50302,1
26,lptD,b0054,16128048,-1,54755,57109,1
26,surA,b0053,16128047,-1,53416,54702,2
26,pdxA,b0052,16128046,-1,52427,53416,3
26,rsmA,b0051,16128045,-1,51609,52430,4
26,apaG,b0050,16128044,-1,51229,51606,5
26,apaH,b0049,16128043,-1,50380,51222,6
27,djlA,b0055,16128049,1,57364,58179,1
28,polB,b0060,16128054,-1,63429,65780,1
28,rapA,b0059,16128053,-1,60358,63264,2
28,rluA,b0058,16128052,-1,59687,60346,3
29,araB,b0063,16128057,-1,68348,70048,1
29,araA,b0062,16128056,-1,66835,68337,2
29,araD,b0061,16128055,-1,65855,66550,3
30,araC,b0064,16128058,1,70387,71265,1
31,yabI,b0065,16128059,1,71351,72115,1
32,thiB,b0068,16128062,-1,74497,75480,1
32,thiP,b0067,16128061,-1,72911,74521,2
32,thiQ,b0066,16128060,-1,72229,72927,3
33,sgrR,b0069,16128063,-1,75644,77299,1
34,setA,b0070,49175994,1,77621,78799,1
35,leuA,b0074,16128068,-1,81958,83529,1
35,leuB,b0073,90111082,-1,80867,81958,2
35,leuC,b0072,16128066,-1,79464,80864,3
