	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_006996670.1_1190	WP_000104441	0.24444444444444444	0.3409090909090909	1.56916	Q46892	Inner membrane permease YgbN	ygbN	180	84.76	26.81	4	i21-40o55-72i92-114o144-166i
lcl|NC_007205.1_prot_WP_006996677.1_1180	WP_000127356	0.9885714285714285	0.48554913294797686	1.76817e-54	P69503	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt	175	2.41	0.65	0	o
lcl|NC_007205.1_prot_WP_006996681.1_1176	WP_000965522	0.9565217391304348	0.35454545454545455	1.95007e-42	P52094	Histidine transport system permease protein HisQ	hisQ	230	91.34	24.02	4	o15-37i68-90o94-116i197-219o
lcl|NC_007205.1_prot_WP_006996682.1_1175	WP_001158220	0.9866071428571429	0.35294117647058826	9.54868e-34	P0AFT2	L-cystine transport system permease protein YecS	yecS	224	94.65	28.53	4	o15-37i58-77o87-109i192-214o
lcl|NC_007205.1_prot_WP_006996701.1_1157	WP_000689363	0.5154639175257731	0.28	5.39034	P76115	Probable TonB-dependent receptor YncD	yncD	97	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996769.1_1124	WP_000777969	0.8070175438596491	0.25	1.01332e-16	P37146	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)	nrdF	342	32.08	0.0	1	i169-191o
lcl|NC_007205.1_prot_WP_006996772.1_1121	WP_000052206	0.9328859060402684	0.41007194244604317	3.21376e-67	P77541	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB	298	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006996782.1_1111	WP_000135224	1.0	0.4292682926829268	4.34879e-45	P0A7V8	30S ribosomal protein S4	rpsD	205	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996785.1_1109	WP_000108172	0.9636363636363636	0.36792452830188677	5.11436e-27	P0AC69	Glutaredoxin-4 (Grx4) (Monothiol glutaredoxin)	grxD	110	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996786.1_1108	WP_000973448	0.9342105263157895	0.30985915492957744	1.84452e-08	P0ABE2	Protein BolA	bolA	76	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996787.1_1107	WP_000970102	0.9465753424657535	0.2735166425470333	1.72675e-36	P15254	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	purL	730	0.24	0.0	0	o
lcl|NC_007205.1_prot_WP_006996788.1_1106	WP_000970102	0.933920704845815	0.3113207547169811	9.09367e-14	P15254	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	purL	227	0.21	0.01	0	o
lcl|NC_007205.1_prot_WP_006996790.1_1104	WP_001295467	0.9153846153846154	0.41596638655462187	3.601e-65	P0A7D7	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC	260	0.13	0.0	0	o
lcl|NC_007205.1_prot_WP_006996791.1_1103	WP_000423742	0.6581395348837209	0.31095406360424027	6.81244e-17	P0AB89	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	purB	430	0.58	0.0	0	o
lcl|NC_007205.1_prot_WP_006996792.1_1102	WP_001018194	0.93359375	0.5188284518828452	1.24827e-86	P0AE18	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map	256	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996793.1_1101	WP_000396036	0.9870689655172413	0.36681222707423583	1.55922e-49	P0A823	Sugar fermentation stimulation protein A	sfsA	232	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996796.1_1098	WP_001059169	0.5637065637065637	0.3698630136986301	2.62046e-18	P0A7B3	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK	259	0.48	0.47	0	o
lcl|NC_007205.1_prot_WP_006996798.1_1096	WP_000031784	0.9974747474747475	0.7291139240506329	0.0	P0CE48	Elongation factor Tu 2 (EF-Tu 2) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)	tufB	396	0.04	0.03	0	o
lcl|NC_007205.1_prot_WP_006996800.1_1094	WP_001287516	0.9886363636363636	0.45977011494252873	3.06052e-54	P0AFG0	Transcription termination/antitermination protein NusG	nusG	176	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996801.1_1093	WP_001085926	1.0	0.5390070921985816	6.0272e-51	P0A7J7	50S ribosomal protein L11	rplK	141	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996804.1_1090	WP_000028878	0.9669421487603306	0.5384615384615384	5.25212e-24	P0A7K2	50S ribosomal protein L7/L12 (L8)	rplL	121	0.11	0.11	0	o
lcl|NC_007205.1_prot_WP_006996807.1_1087	WP_000246815	1.0	0.7317073170731707	3.86227e-62	P0A7S3	30S ribosomal protein S12	rpsL	123	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996808.1_1086	WP_001138045	1.0	0.5448717948717948	1.74333e-61	P02359	30S ribosomal protein S7	rpsG	156	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996809.1_1085	WP_000124700	0.9913294797687862	0.6151603498542274	0.0	P0A6M8	Elongation factor G (EF-G)	fusA	692	2.69	0.0	0	o
lcl|NC_007205.1_prot_WP_006996810.1_1084	WP_001181004	1.0	0.6078431372549019	6.28141e-45	P0A7R5	30S ribosomal protein S10	rpsJ	102	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996813.1_1081	WP_000617544	0.8762886597938144	0.35294117647058826	6.40459e-11	P0ADZ0	50S ribosomal protein L23	rplW	97	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996814.1_1080	WP_000301864	0.9750889679715302	0.5291970802919708	1.07161e-96	P60422	50S ribosomal protein L2	rplB	281	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996815.1_1079	WP_001138117	0.8556701030927835	0.5301204819277109	1.05979e-29	P0A7U3	30S ribosomal protein S19	rpsS	97	0.44	0.42	0	o
lcl|NC_007205.1_prot_WP_006996816.1_1078	WP_000447529	0.7803030303030303	0.4077669902912621	6.18302e-18	P61175	50S ribosomal protein L22	rplV	132	0.28	0.0	0	i
lcl|NC_007205.1_prot_WP_006996818.1_1076	WP_000941212	0.9705882352941176	0.553030303030303	1.2799e-50	P0ADY7	50S ribosomal protein L16	rplP	136	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996819.1_1075	WP_000644741	1.0	0.30158730158730157	0.00215027	P0A7M6	50S ribosomal protein L29	rpmC	63	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996821.1_1073	WP_000613955	1.0	0.7131147540983607	1.45273e-55	P0ADY3	50S ribosomal protein L14	rplN	122	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996822.1_1072	WP_000729185	0.8414634146341463	0.42028985507246375	3.93406e-08	P60624	50S ribosomal protein L24	rplX	82	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996824.1_1070	WP_001118930	1.0	0.4752475247524752	2.2487e-27	P0AG59	30S ribosomal protein S14	rpsN	101	0.01	0.0	0	i
lcl|NC_007205.1_prot_WP_006996825.1_1069	WP_000062611	0.9923664122137404	0.5461538461538461	2.54264e-48	P0A7W7	30S ribosomal protein S8	rpsH	131	0.01	0.0	0	o
